"strain","country","state","date","latitude","longitude","region","num_date"
"Indonesia|Manado|MW362792|MND-010|Dengue_2|E|External|2019-01-17|2019.04383561644","Indonesia","Manado","2019-01-17",-2.4833826,117.8902853,"SEA",2019
"China|Guangzhou|MK517749|6-146|Dengue_2|E|External|2018-10-06|2018.76164383562","China","Guangzhou","2018-10-06",35.000074,104.999927,"SEA",2018
"China|Guangzhou|MK517748|4-49|Dengue_2|E|External|2018-09-25|2018.73150684932","China","Guangzhou","2018-09-25",35.000074,104.999927,"SEA",2018
"China|NA|MN923140|2018XN20075|Dengue_2|E|External|2018-08-16|2018.62191780822","China","NA","2018-08-16",35.000074,104.999927,"SEA",2018
"China|NA|MN923144|2018XN20238|Dengue_2|E|External|2018-08-20|2018.63287671233","China","NA","2018-08-20",35.000074,104.999927,"SEA",2018
"China|NA|MN923148|2018XN20336|Dengue_2|E|External|2018-08-21|2018.63561643836","China","NA","2018-08-21",35.000074,104.999927,"SEA",2018
"China|NA|MN923150|2018XN20363|Dengue_2|E|External|2018-08-21|2018.63561643836","China","NA","2018-08-21",35.000074,104.999927,"SEA",2018
"China|NA|MN923153|2018XN20677|Dengue_2|E|External|2018-08-28|2018.65479452055","China","NA","2018-08-28",35.000074,104.999927,"SEA",2018
"China|NA|MN923167|2018XN60912|Dengue_2|E|External|2018-08-20|2018.63287671233","China","NA","2018-08-20",35.000074,104.999927,"SEA",2018
"China|NA|MN923168|2018XN60914|Dengue_2|E|External|2018-08-20|2018.63287671233","China","NA","2018-08-20",35.000074,104.999927,"SEA",2018
"China|NA|MN923146|2018XN20246|Dengue_2|E|External|2018-08-20|2018.63287671233","China","NA","2018-08-20",35.000074,104.999927,"SEA",2018
"China|NA|MN923147|2018XN20325|Dengue_2|E|External|2018-08-21|2018.63561643836","China","NA","2018-08-21",35.000074,104.999927,"SEA",2018
"Indonesia|Manado|MW362793|MND-060|Dengue_2|E|External|2019-01-30|2019.07945205479","Indonesia","Manado","2019-01-30",-2.4833826,117.8902853,"SEA",2019
"East_Timor|NA|KT781527|East_Timor_2011|Dengue_2|E|External|2011-06-15|2011.45205479452","East_Timor","NA","2011-06-15",-8.7443169,126.063482,"SEA",2011
"East_Timor|NA|KY275205|D2/Timor/048/2011|Dengue_2|E|External|2011-02-15|2011.12328767123","East_Timor","NA","2011-02-15",-8.7443169,126.063482,"SEA",2011
"East_Timor|NA|KY275211|D2/Timor/116/2011|Dengue_2|E|External|2011-04-15|2011.28493150685","East_Timor","NA","2011-04-15",-8.7443169,126.063482,"SEA",2011
"East_Timor|NA|KY275212|D2/Timor/121/2011|Dengue_2|E|External|2011-04-15|2011.28493150685","East_Timor","NA","2011-04-15",-8.7443169,126.063482,"SEA",2011
"East_Timor|NA|KY275215|D2/Timor/129/2011|Dengue_2|E|External|2011-04-15|2011.28493150685","East_Timor","NA","2011-04-15",-8.7443169,126.063482,"SEA",2011
"East_Timor|NA|KY275220|D2/Timor/280/2010|Dengue_2|E|External|2010-12-15|2010.95342465753","East_Timor","NA","2010-12-15",-8.7443169,126.063482,"SEA",2010
"East_Timor|NA|KY275232|D2/Timor/131/2011|Dengue_2|E|External|2011-04-15|2011.28493150685","East_Timor","NA","2011-04-15",-8.7443169,126.063482,"SEA",2011
"East_Timor|NA|KY275198|D2/Timor/001/2011|Dengue_2|E|External|2011-01-15|2011.03835616438","East_Timor","NA","2011-01-15",-8.7443169,126.063482,"SEA",2011
"East_Timor|NA|KY275204|D2/Timor/044/2011|Dengue_2|E|External|2011-03-15|2011.2","East_Timor","NA","2011-03-15",-8.7443169,126.063482,"SEA",2011
"East_Timor|NA|KY275207|D2/Timor/052/2012|Dengue_2|E|External|2012-03-15|2012.2","East_Timor","NA","2012-03-15",-8.7443169,126.063482,"SEA",2012
